hex_id,dns_mapping,notes
6smvxbcanwaa,0.0.6.6.6.0.0.2.4.0.6.5.5.2.6.36,"Mexico City Wikipedia"
6kqqokeanwaa,0.0.6.6.6.0.0.4.0.5.4.3.0.2.0.21,"New York City Wikipedia"
6knb25lanwaa,0.0.6.6.6.0.0.3.5.6.5.6.1.4.6.20,"Los Angeles Wikipedia"
6k43yrwanwaa,0.0.6.6.6.0.0.6.6.0.1.6.3.3.6.21,"Toronto Wikipedia"
6jteygvanwaa,0.0.6.6.6.0.0.5.2.3.0.6.4.4.1.19,"Chicago Wikipedia"
7kaqbqbanwaa,0.0.6.6.6.0.0.1.0.0.3.0.0.2.0.84,"São Paulo Wikipedia"
7qzdca5anwaa,0.0.6.6.6.0.0.5.3.0.4.0.3.4.3.97,"Buenos Aires Wikipedia"
7kfamewanwaa,0.0.6.6.6.0.0.6.2.2.0.3.0.4.2.84,"Rio de Janeiro Wikipedia"
7dtcyddanwaa,0.0.6.6.6.0.0.3.4.1.0.6.2.4.1.71,"Lima Wikipedia"
6zxasjlanwaa,0.0.6.6.6.0.0.3.5.4.4.4.0.4.3.51,"Bogotá Wikipedia"
